mm-ata01;al01;Financial Leverage digunakan untuk....;mengukur tingkat kekuatan antara EPS terhadap perubahan EBIT perusahaan;mengukur tingkat kepekaan antara EPS terhadap perubahan EBIT perusahaan;mengukur tingkat kewajaran antara EPS terhadap perubahan EBIT perusahaan;mengukur tingkat kepekaan antara EPS terhadap pertambahan EBIT perusahaan;jaw_b
mm-ata01;al02;surat utang jangka panjang yang diterbitkan oleh pemerintah atau perusahaan adalah...;Obligasi;SBPU;Saham;Surat Hutang;jaw_a
mm-ata01;al03;Semakin besar perubahan EBIT perusahaan, maka akan berpengaruh pada ....;fluktuasi EPS;fluktuasi saham;fluktuasi mata uang asing;fluktuasi BPS;jaw_a
mm-ata01;al04;Saham yang pembayarannya tidak pasti, dimana jumlah dan devidennya tidak tetap, dan pemilik saham biasa memiliki hak suara dalam RUPS adalah...;saham biasa;SBPU;Saham preferen;Surat Hutang;jaw_a
mm-ata01;al05;Saham yang pembayarannya dilakukan terlebih dahulu dalam pembagian deviden, jumlahnya tetap dan telah dinyatakan sebelumnya . Namun pemilik saham preferen tidak memiliki hak suara dalam RUPS adalah...;saham biasa ;SBPU;Saham preferen;Surat Hutang;jaw_c
mm-ata01;al06;Tingkat EBIT yang menghasilkan EPS yang sama besarnya pada berbagai perimbangan pembelanjaan (financial mix) dinamakan...;Indifference Point;Break Event Point ;A dan B salah;A dan B benar;jaw_d
mm-ata01;al07;Jika suatu perusahaan menggunakan sebagian dari aktivanya dengan sekuritas pembayaran bunga, artinya perusahaan tersebut menggunakan analisis...;Financial Effect;Financial Leverage;Financial Average;Financial Statement;jaw_b
mm-ata01;al08;Apakah kepanjangan dari EBIT ?;Earning Before Interest and Tax;Event Before Investment and Tax ;Earning Break Indiferent and Tax;Event Break Interest and Tax;jaw_a
mm-ata01;al09;Apakah kepanjangan dari EPS ?;Effect per Share;Effect per Shariah;Earning point Share;Earning per Share;jaw_d
mm-ata01;al10;Mengapa tingkat EBIT yang dapat menghasilkan EPS yang sama besar perlu diketahui ?;Untuk dapat menyusun financial statement;Agar dapat menyusun laporan laba rugi;Agar dapat menentukan income effect dari berbagai pertimbangan;Untuk dapat menentukan visi dan misi yang tepat untuk perusahaan;jaw_c
mm-ata01;al11;Apa tujuan dari perusahaan untuk menganalisa berbagai alternative yang dapat dilaksaanakan dalam financial leverage ?;untuk memperbesar pendapatan bagi pemilik modal;untuk memperbesar piutang bagi pemilik modal;untuk memperbesar keuntungan deviden bagi pemilik modal;untuk memndapatkan kupon bagi pemilik modal;jaw_a
mm-ata01;al12;Apa yang harus dilakukan terlebih dahulu Untuk dapat mengetahui perimbangan pembelanjaan yang mana yang mempunyai income effect yang terbesar terhadap EPS pada setiap tingkat EBIT ?;menentukan laba perusahaan;menentukan EAT;menentukan indifference point;menentukan piutang tertagih;jaw_c
mm-ata01;al13;Analisa indifference point ini sering pula disebut dengan ...;analisa EAT - BEP;analisa EBIT – EPS;analisa EPS – EBIT;analisa BEP - EAT;jaw_b
mm-ata01;al14;( x - c1 ) (1-t)/ S1 = ( x – c2 ) ( 1 – t ) / S2 \n\n Rumus diatas merupakan rumus untuk mencari...;perhitungan indifference point;perhitungan NPV;perhitungan proceed;perhitungan IRR;jaw_a
mm-ata01;al15;( x - c1 ) (1-t)/ S1 = ( x – c2 ) ( 1 – t ) / S2 \n\n X pada rumus diatas merupakan... ;EBIT pada tingkat indifference point;EBIT pada tingkat IRR;EBIT pada tingkat deductible;EBIT pada tingkat expense;jaw_a
mm-ata01;al16;( x - c1 ) (1-t)/ S1 = ( x – c2 ) ( 1 – t ) / S2 \n\n S2 pada rumus diatas merupakan...;jumlah bunga dlm rupiah yang dibayarkan dari jumlah pinjaman yang telah ada maupun yang baru;jumlah bunga dalam rupiah yang dibayarkan baik untuk pinjaman yang telah ada maupun yang baru;jumlah lembar saham biasa yang bereda kalau tambahan dana dipenuhi dengan hanya menjual saham baru;jumlah lembar saham biasa yang beredar jika tambahan dana dipenuhi dengan hanya mengeluarkan obligasi baru bersama-sama dengan pengeluaran saham baru;jaw_d
mm-ata01;al17;( x - c1 ) (1-t)/ S1 = ( x – c2 ) ( 1 – t ) / S2 \n\n S1 pada rumus diatas merupakan...;jumlah bunga dlm rupiah yang dibayarkan dari jumlah pinjaman yang telah ada maupun yang baru;jumlah bunga dalam rupiah yang dibayarkan baik untuk pinjaman yang telah ada maupun yang baru;jumlah lembar saham biasa yang bereda kalau tambahan dana dipenuhi dengan hanya menjual saham baru;jumlah lembar saham biasa yang beredar jika tambahan dana dipenuhi dengan hanya mengeluarkan obligasi baru bersama-sama dengan pengeluaran saham baru;jaw_c
mm-ata01;al18;( x - c1 ) (1-t)/ S1 = ( x – c2 ) ( 1 – t ) / S2 \n\n C1 pada rumus diatas merupakan...;jumlah bunga dlm rupiah yang dibayarkan dari jumlah pinjaman yang telah ada maupun yang baru;jumlah bunga dalam rupiah yang dibayarkan baik untuk pinjaman yang telah ada maupun yang baru;jumlah lembar saham biasa yang bereda kalau tambahan dana dipenuhi dengan hanya menjual saham baru;jumlah lembar saham biasa yang beredar jika tambahan dana dipenuhi dengan hanya mengeluarkan obligasi baru bersama-sama dengan pengeluaran saham baru;jaw_a
mm-ata01;al19;( x - c1 ) (1-t)/ S1 = ( x – c2 ) ( 1 – t ) / S2 \n\n C2 pada rumus diatas merupakan...;jumlah bunga dlm rupiah yang dibayarkan dari jumlah pinjaman yang telah ada maupun yang baru;jumlah bunga dalam rupiah yang dibayarkan baik untuk pinjaman yang telah ada maupun yang baru;jumlah lembar saham biasa yang beredar kalau tambahan dana dipenuhi dengan hanya menjual saham baru;jumlah lembar saham biasa yang beredar jika tambahan dana dipenuhi dengan hanya mengeluarkan obligasi baru bersama-sama dengan pengeluaran saham baru;jaw_b
mm-ata01;al20;Contoh menggunakan sebagian dari aktivanya dengan sekuritas pembayaran bunga adalah... kecuali;hutang pada bank;menerbitkan obligasi;debt to effect;menerbitkan saham preferen;jaw_c
mm-ata01;al21;Penyesuaian perlu diadakan karena bunga utang merupakan ...;Taxable income;Tax deductible expense;Before tax basis;After tax basis;jaw_b
mm-ata01;al22;Taxable income adalah....;pendapatan yang dikenakan pajak;pendapatan yang tidak dikenakan pajak;pendapatan sebelum pajak;pendapatan sesudah pajak;jaw_a
mm-ata01;al23;Dalam perhitungan saham preferen perlu diadakannya ....;pemerataan;penyesuaian;perbaikan;penambahan;jaw_b
mm-ata01;al24;Berikut ini yang bukan merupakan tax deductible expense adalah... ;deviden saham preferen;hak royalti;hak paten;surat kepemilikan;jaw_a
mm-ata01;al25;Apa alasan rumus perhitungan indifference point harus diadakan penyesuaian ?;Apabila perusahaan sebelumnya sudah mempunyai saham dan akan mengeluarkan saham baru;Apabila perusahaan sebelumnya sudah mempunyai investasi dan akan mengeluarkan investasi baru;Apabila perusahaan sebelumnya sudah mempunyai obligasi dan akan mengeluarkan obligasi baru;Apabila perusahaan sebelumnya sudah mempunyai portofolio dan akan mengeluarkan portofolio baru;jaw_c
